# Iterations, training_loss
0.000000000000000000e+00,3.504965603351593018e-01
3.054545454545454504e+03,5.682003498077392578e-02
6.109090909090909008e+03,1.984519511461257935e-02
9.163636363636363967e+03,8.775753900408744812e-03
1.221818181818181802e+04,3.651022212579846382e-03
1.527272727272727207e+04,2.188498154282569885e-03
1.832727272727272793e+04,1.850202563218772411e-03
2.138181818181818016e+04,1.469794311560690403e-03
2.443636363636363603e+04,1.270506647415459156e-03
2.749090909090909190e+04,1.242506783455610275e-03
3.054545454545454413e+04,1.118054497055709362e-03
3.360000000000000000e+04,1.107005286030471325e-03
3.665454545454545587e+04,1.108712283894419670e-03
3.970909090909091174e+04,1.005457481369376183e-03
4.276363636363636033e+04,9.063562029041349888e-04
4.581818181818181620e+04,9.038331918418407440e-04
4.887272727272727207e+04,9.020547731779515743e-04
5.192727272727272793e+04,8.019061642698943615e-04
5.498181818181818380e+04,8.013866026885807514e-04
5.803636363636363239e+04,8.006021380424499512e-04
6.109090909090908826e+04,8.003390976227819920e-04
6.414545454545454413e+04,8.001060341484844685e-04
6.720000000000000000e+04,8.001294918358325958e-04
7.025454545454545587e+04,8.000724483281373978e-04
7.330909090909091174e+04,8.000438683666288853e-04
7.636363636363636761e+04,8.000322850421071053e-04
7.941818181818182347e+04,8.000253583304584026e-04
8.247272727272726479e+04,7.000418263487517834e-04
8.552727272727272066e+04,7.000258192420005798e-04
8.858181818181817653e+04,7.000225596129894257e-04
9.163636363636363239e+04,7.000277983024716377e-04
9.469090909090908826e+04,7.000221521593630314e-04
9.774545454545454413e+04,7.000174373388290405e-04
1.008000000000000000e+05,7.000135956332087517e-04
1.038545454545454559e+05,7.000183686614036560e-04
1.069090909090909117e+05,7.000122568570077419e-04
1.099636363636363676e+05,7.000117329880595207e-04
1.130181818181818235e+05,7.000099285505712032e-04
1.160727272727272648e+05,7.000089390203356743e-04
1.191272727272727207e+05,7.000121986493468285e-04
1.221818181818181765e+05,7.000109762884676456e-04
1.252363636363636324e+05,7.000102777965366840e-04
1.282909090909090883e+05,7.000076002441346645e-04
1.313454545454545296e+05,7.000094046816229820e-04
1.344000000000000000e+05,7.000074256211519241e-04
1.374545454545454413e+05,7.000084151513874531e-04
1.405090909090909117e+05,7.000085897743701935e-04
1.435636363636363531e+05,7.000074838288128376e-04
1.466181818181818235e+05,7.000071345828473568e-04
1.496727272727272648e+05,7.000068435445427895e-04
1.527272727272727352e+05,7.000064942985773087e-04
1.557818181818181765e+05,7.000061450526118279e-04
1.588363636363636469e+05,7.000056793913245201e-04
1.618909090909090883e+05,7.000050973147153854e-04
1.649454545454545296e+05,7.000048644840717316e-04
1.680000000000000000e+05,7.000044570304453373e-04
