# n, training_loss
0.000000000000000000e+00,2.482219785451889038e-01
1.000020000400007980e+01,1.864444613456726074e-01
2.000040000800015960e+01,1.355990618467330933e-01
3.000060001200024118e+01,9.514275193214416504e-02
4.000080001600031920e+01,6.685531884431838989e-02
5.000100002000039723e+01,4.806654900312423706e-02
6.000120002400048236e+01,3.562098369002342224e-02
7.000140002800056038e+01,2.731208130717277527e-02
8.000160003200063841e+01,2.163190953433513641e-02
9.000180003600071643e+01,1.762086339294910431e-02
1.000020000400007945e+02,1.469052117317914963e-02
1.100022000440008725e+02,1.247899606823921204e-02
1.200024000480009647e+02,1.076328847557306290e-02
1.300026000520010427e+02,9.401693008840084076e-03
1.400028000560011208e+02,8.300275541841983795e-03
1.500030000600011988e+02,7.395774591714143753e-03
1.600032000640012768e+02,6.642494816333055496e-03
1.700034000680013548e+02,6.006951443850994110e-03
1.800036000720014329e+02,5.464260000735521317e-03
1.900038000760015109e+02,4.996344447135925293e-03
2.000040000800015889e+02,4.590172320604324341e-03
2.100042000840016669e+02,4.235292319208383560e-03
2.200044000880017450e+02,3.922746051102876663e-03
2.300046000920018230e+02,3.645663149654865265e-03
2.400048000960019294e+02,3.398740431293845177e-03
2.500050001000020075e+02,3.177744103595614433e-03
2.600052001040020855e+02,2.978908829391002655e-03
2.700054001080021635e+02,2.799121895805001259e-03
2.800056001120022415e+02,2.636090153828263283e-03
2.900058001160023196e+02,2.487812424078583717e-03
3.000060001200023976e+02,2.352443058043718338e-03
3.100062001240024756e+02,2.228459343314170837e-03
3.200064001280025536e+02,2.114597242325544357e-03
3.300066001320026317e+02,2.009703312069177628e-03
3.400068001360027097e+02,1.912845764309167862e-03
3.500070001400027877e+02,1.823158236220479012e-03
3.600072001440028657e+02,1.740036066621541977e-03
3.700074001480029438e+02,1.662784605287015438e-03
3.800076001520030218e+02,1.590864965692162514e-03
3.900078001560030998e+02,1.523799146525561810e-03
4.000080001600031778e+02,1.461155596189200878e-03
4.100082001640032558e+02,1.402542809955775738e-03
4.200084001680033339e+02,1.347637269645929337e-03
4.300086001720034119e+02,1.296076923608779907e-03
4.400088001760034899e+02,1.247584004886448383e-03
4.500090001800035679e+02,1.201926730573177338e-03
4.600092001840036460e+02,1.158888218924403191e-03
4.700094001880037240e+02,1.118256594054400921e-03
4.800096001920038589e+02,1.079832785762846470e-03
4.900098001960039369e+02,1.043450436554849148e-03
5.000100002000040149e+02,1.008973107673227787e-03
5.100102002040040929e+02,9.762606932781636715e-04
5.200104002080041710e+02,9.451759979128837585e-04
5.300106002120041921e+02,9.156341548077762127e-04
5.400108002160043270e+02,8.875210769474506378e-04
5.500110002200043482e+02,8.607327472418546677e-04
5.600112002240044831e+02,8.351925644092261791e-04
5.700114002280045042e+02,8.108363253995776176e-04
5.800116002320046391e+02,7.875884766690433025e-04
5.900118002360046603e+02,7.653639768250286579e-04
6.000120002400047952e+02,7.441080524586141109e-04
6.100122002440048163e+02,7.237638346850872040e-04
6.200124002480049512e+02,7.042883080430328846e-04
6.300126002520049724e+02,6.856120307929813862e-04
6.400128002560051073e+02,6.677038036286830902e-04
6.500130002600052421e+02,6.505195051431655884e-04
6.600132002640052633e+02,6.340219988487660885e-04
6.700134002680053982e+02,6.181643111631274223e-04
6.800136002720054194e+02,6.029194337315857410e-04
