# Iterations, training_loss
0.000000000000000000e+00,6.662304978817701340e-03
1.935483870967741950e+03,1.437463797628879547e-03
3.870967741935483900e+03,4.687429754994809628e-04
5.806451612903225396e+03,2.365116415603552014e-05
7.741935483870967801e+03,1.478091598983155563e-05
9.677419354838710206e+03,1.107370826503029093e-05
1.161290322580645079e+04,2.180837327614426613e-06
1.354838709677419320e+04,1.386391431879019365e-06
1.548387096774193560e+04,3.152802605654869694e-07
1.741935483870967801e+04,6.808347308151496691e-08
1.935483870967742041e+04,4.111867326628271258e-07
2.129032258064516282e+04,2.667323997229686938e-07
2.322580645161290158e+04,2.709262858502370364e-08
2.516129032258064399e+04,2.760711836913287698e-08
2.709677419354838639e+04,3.785413582590990700e-08
2.903225806451612880e+04,5.542996461826987797e-08
3.096774193548387120e+04,4.665169583972783585e-08
3.290322580645161361e+04,4.015499754927986942e-08
3.483870967741935601e+04,3.385747504580649547e-08
3.677419354838709842e+04,5.411831693891144823e-08
3.870967741935484082e+04,5.276902115269876958e-08
4.064516129032258323e+04,2.326934023244575656e-08
4.258064516129032563e+04,2.110324004434005474e-08
4.451612903225806804e+04,1.908966495989261603e-08
4.645161290322580317e+04,3.819603477950295201e-08
4.838709677419354557e+04,3.459134489958159975e-08
5.032258064516128798e+04,3.058210040762787685e-08
5.225806451612903038e+04,2.727995251916581765e-08
5.419354838709677279e+04,2.420808442593624932e-08
5.612903225806451519e+04,2.166806645220731298e-08
5.806451612903225760e+04,1.954155770533816394e-08
6.000000000000000000e+04,1.736917454309150344e-08
