# n, training_loss
0.000000000000000000e+00,3.416211903095245361e-01
1.000133351113481872e+01,2.026433646678924561e-01
2.000266702226963744e+01,1.773140132427215576e-01
3.000400053340445794e+01,1.598639786243438721e-01
4.000533404453927488e+01,1.487113684415817261e-01
5.000666755567409183e+01,1.424700915813446045e-01
6.000800106680891588e+01,1.375319212675094604e-01
7.000933457794373282e+01,1.336487233638763428e-01
8.001066808907854977e+01,1.303110122680664062e-01
9.001200160021336671e+01,1.273888945579528809e-01
1.000133351113481837e+02,1.246897205710411072e-01
1.100146686224830006e+02,1.221772804856300354e-01
1.200160021336178318e+02,1.198531314730644226e-01
1.300173356447526487e+02,1.176076158881187439e-01
1.400186691558874656e+02,1.154772192239761353e-01
1.500200026670222826e+02,1.134400367736816406e-01
1.600213361781570995e+02,1.114820316433906555e-01
1.700226696892919165e+02,1.095715165138244629e-01
1.800240032004267334e+02,1.077200397849082947e-01
1.900253367115615504e+02,1.059524044394493103e-01
2.000266702226963673e+02,1.042475774884223938e-01
2.100280037338311843e+02,1.025864109396934509e-01
2.200293372449660012e+02,1.009711921215057373e-01
2.300306707561008182e+02,9.940645843744277954e-02
2.400320042672356635e+02,9.788002073764801025e-02
2.500333377783704805e+02,9.637893736362457275e-02
2.600346712895052974e+02,9.490562975406646729e-02
2.700360048006401144e+02,9.346079826354980469e-02
2.800373383117749313e+02,9.204349666833877563e-02
2.900386718229097482e+02,9.062738716602325439e-02
3.000400053340445652e+02,8.923678100109100342e-02
3.100413388451793821e+02,8.785980939865112305e-02
3.200426723563141991e+02,8.649994432926177979e-02
3.300440058674490160e+02,8.515582233667373657e-02
3.400453393785838330e+02,8.380562812089920044e-02
3.500466728897186499e+02,8.248765766620635986e-02
3.600480064008534669e+02,8.118555694818496704e-02
3.700493399119882838e+02,7.989981770515441895e-02
3.800506734231231007e+02,7.862777262926101685e-02
3.900520069342579177e+02,7.736603915691375732e-02
4.000533404453927346e+02,7.610668987035751343e-02
4.100546739565275516e+02,7.484997063875198364e-02
4.200560074676623685e+02,7.360094785690307617e-02
4.300573409787971855e+02,7.235266268253326416e-02
4.400586744899320024e+02,7.111848890781402588e-02
4.500600080010668194e+02,6.989214569330215454e-02
4.600613415122016363e+02,6.867640465497970581e-02
4.700626750233364533e+02,6.746725738048553467e-02
4.800640085344713270e+02,6.626558303833007812e-02
4.900653420456061440e+02,6.506928056478500366e-02
5.000666755567409609e+02,6.388112157583236694e-02
5.100680090678757779e+02,6.270221620798110962e-02
5.200693425790105948e+02,6.152723357081413269e-02
5.300706760901454118e+02,6.035495549440383911e-02
5.400720096012802287e+02,5.918681994080543518e-02
5.500733431124150457e+02,5.802332609891891479e-02
5.600746766235498626e+02,5.688981711864471436e-02
5.700760101346846795e+02,5.576976016163825989e-02
5.800773436458194965e+02,5.467022582888603210e-02
5.900786771569543134e+02,5.357967317104339600e-02
6.000800106680891304e+02,5.249682441353797913e-02
6.100813441792239473e+02,5.144263803958892822e-02
6.200826776903587643e+02,5.039240047335624695e-02
6.300840112014935812e+02,4.935400933027267456e-02
6.400853447126283982e+02,4.833807051181793213e-02
6.500866782237632151e+02,4.733766242861747742e-02
6.600880117348980320e+02,4.633800685405731201e-02
6.700893452460328490e+02,4.536480456590652466e-02
6.800906787571676659e+02,4.440740123391151428e-02
6.900920122683024829e+02,4.348743334412574768e-02
7.000933457794372998e+02,4.258368536829948425e-02
7.100946792905721168e+02,4.168602824211120605e-02
7.200960128017069337e+02,4.082961753010749817e-02
7.300973463128417507e+02,3.995439782738685608e-02
7.400986798239765676e+02,3.911785036325454712e-02
7.501000133351113845e+02,3.831508010625839233e-02
7.601013468462462015e+02,3.749947249889373779e-02
7.701026803573810184e+02,3.672938048839569092e-02
7.801040138685158354e+02,3.598093241453170776e-02
